"CNTSTUID","ST097Q01TA","ST218Q03HA","ST218Q02HA","ST218Q06HA","ST218Q04HA","ST206Q04HA","ST206Q02HA","ST153Q03HA","ST176Q06IA","ST206Q01HA","ST176Q06IA_scaled","ST153Q03HA_scaled","Comm_valid_count","Communication_Score","Collab_valid_count","Collaboration_Score"
800251,4,4,4,4,4,3,3,1,5,3,4,4,5,4,5,3.4
800402,4,3,3,3,3,2,2,1,4,1,3.25,4,5,3.2,5,2.45
801902,4,2,3,4,3,4,4,1,3,4,2.5,4,5,3.2,5,3.7
803546,2,3,3,3,3,3,3,1,3,3,2.5,4,5,2.8,5,3.1
804776,4,4,4,4,4,3,3,1,5,3,4,4,5,4,5,3.4
804825,3,3,3,3,3,3,3,2,1,2,1,1,5,3,5,2
805601,4,3,3,3,2,2,3,1,4,4,3.25,4,5,3,5,3.25
801174,4,3,3,3,3,4,4,1,4,4,3.25,4,5,3.2,5,3.85
801782,3,3,3,3,3,3,3,1,2,3,1.75,4,5,3,5,2.95
802572,3,3,3,4,4,3,4,2,2,3,1.75,1,5,3.4,5,2.55
802883,3,4,4,4,3,4,4,2,2,3,1.75,1,5,3.6,5,2.75
801923,3,1,1,3,2,3,3,1,5,3,4,4,5,2,5,3.4
801941,4,4,4,4,4,3,4,1,5,3,4,4,5,4,5,3.6
802589,4,3,3,3,3,4,4,1,4,4,3.25,4,5,3.2,5,3.85
802995,3,3,3,3,3,2,2,1,4,2,3.25,4,5,3,5,2.65
803956,2,3,3,3,3,3,3,2,5,3,4,1,5,2.8,5,2.8
805071,3,3,3,3,3,3,3,1,1,2,1,4,5,3,5,2.6
805176,4,3,3,3,3,3,3,1,3,3,2.5,4,5,3.2,5,3.1
805498,3,3,3,3,4,4,4,2,3,3,2.5,1,5,3.2,5,2.9
805523,4,3,3,3,3,3,3,NA,3,3,2.5,NA,5,3.2,4,2.875
806618,4,3,3,4,3,3,3,1,2,3,1.75,4,5,3.4,5,2.95
806655,3,2,1,2,1,1,2,1,3,1,2.5,4,5,1.8,5,2.1
806704,1,4,3,3,3,4,4,1,4,4,3.25,4,5,2.8,5,3.85
801005,4,NA,NA,2,4,3,3,1,2,3,1.75,4,3,3.33333333333333,5,2.95
801598,4,3,3,4,4,3,3,1,3,3,2.5,4,5,3.6,5,3.1
801975,2,4,4,4,4,2,2,1,3,2,2.5,4,5,3.6,5,2.5
